
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.95 (shown are averages)
------------------------------
            eval-loss    lower-CI    upper-CI  n-seeds  train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config394    5.888511    5.638670    6.138351      100   0.000095       0.015559        1.684803    14.786619        39.958935      12.030624          18.430945       11.341625           13.048948      10.652626           7.666950       10.422960            5.872951    10.193294         4.078952
config42     6.073820    5.812542    6.335097      100   0.024568       0.085062        1.497417    14.726074        39.474747      12.330212          18.325701       11.731246           13.038440      11.132280           7.751178       10.932625            5.988758    10.732970         4.226337
config161    6.447327    6.054664    6.839991      100   0.125406       0.199727        1.913309    17.020179        38.197829      12.435140          18.018737       11.288880           12.973964      10.142620           7.929191        9.760534            6.247601     9.378447         4.566010
config69     6.546642    6.240052    6.853233      100   0.009722       0.173858        2.059063    13.419195        33.047719      11.688699          16.200392       11.256075           11.988560      10.823450           7.776728       10.679242            6.372784    10.535034         4.968840
config219    6.548538    6.271886    6.825190      100   0.906565       0.247916        1.464517    14.988807        34.780813      11.976775          16.793324       11.223767           12.296452      10.470759           7.799579       10.219756            6.300622     9.968753         4.801664
config152    6.555918    6.257364    6.854471      100   0.000136       0.003637        1.784360    14.147807        30.534330      11.970361          15.387772       11.425999           11.601133      10.881637           7.814494       10.700183            6.552281    10.518729         5.290068
config177    6.633307    6.302949    6.963664      100   0.026505       0.058046        1.330082    14.845475        33.189339      12.465561          16.380447       11.870583           12.178225      11.275604           7.976002       11.077278            6.575261    10.878952         5.174520
config23     6.755323    6.439036    7.071611      100   0.039035       0.239147        0.976215    14.740202        32.616130      12.165962          16.131948       11.522402           12.010903      10.878842           7.889858       10.664322            6.516176    10.449802         5.142494
config338    6.838728    6.535169    7.142287      100   0.001295       0.040756        1.368823    14.761227        28.604060      12.029366          14.831794       11.346401           11.388727      10.663435           7.945661       10.435780            6.797972    10.208125         5.650283
config164    6.854029    6.528179    7.179878      100   0.000750       0.023708        0.904445    14.367485        29.895847      12.115664          15.328146       11.552709           11.686221      10.989754           8.044296       10.802102            6.830321    10.614450         5.616346
config217    6.908532    6.546984    7.270080      100   2.227158       0.505022        1.470385    15.187230        38.548012      12.388615          18.246222       11.688961           13.170774      10.989307           8.095327       10.756089            6.403511    10.522871         4.711695
config466    7.083358    6.741657    7.425060      100   0.030684       0.105782        1.422987    14.298626        31.810746      12.197630          16.126639       11.672381           12.205612      11.147132           8.284585       10.972049            6.977576    10.796966         5.670567
config109    7.091186    6.741971    7.440402      100   0.314644       0.177755        1.837260    14.704116        28.718815      11.698454          14.946993       10.947038           11.504038      10.195623           8.061083        9.945151            6.913431     9.694679         5.765779
config166    7.113514    6.798356    7.428673      100   0.009625       0.218741        1.108600    14.353639        29.695852      12.302967          15.295171       11.790299           11.695000      11.277631           8.094830       11.106741            6.894773    10.935852         5.694717
config202    7.117079    6.779303    7.454855      100   0.009805       0.021882        2.004545    13.660942        26.275785      11.561318          14.161730       11.036413           11.133216      10.511507           8.104702       10.336538            7.095197    10.161569         6.085693
config458    7.130253    6.761407    7.499099      100   0.798506       0.747395        1.739676    15.011006        37.131084      12.075280          17.711152       11.341349           12.856169      10.607417           8.001186       10.362773            6.382858    10.118129         4.764530
config130    7.148581    6.798547    7.498614      100   0.309593       0.119531        0.887823    14.096226        27.809294      11.664454          14.684929       11.056511           11.403838      10.448568           8.122747       10.245921            7.029050    10.043273         5.935352
config29     7.197042    6.813376    7.580709      100   0.001455       0.016499        1.137731    15.286504        29.093496      12.290309          15.253736       11.541260           11.793797      10.792211           8.333857       10.542529            7.180543    10.292846         6.027230
