
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.95 (shown are averages)
------------------------------
            eval-loss   lower-CI    upper-CI  n-seeds  train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config370    2.508790   2.254159    2.763420      100   0.072792       0.035862        1.450972     6.542905        13.299685       4.907022           6.461733        4.498052            4.752245       4.089081           3.042757        3.952757            2.472927     3.816434         1.903098
config311    2.786186   2.479518    3.092855      100   0.045186       0.052447        0.990682     4.993227        12.246813       5.041405           6.238556        5.053450            4.736492       5.065494           3.234428        5.069509            2.733740     5.073524         2.233052
config258    2.794244   2.498431    3.090056      100   0.020844       0.045303        1.287475     4.777299        11.621466       4.792581           6.017765        4.796402            4.616840       4.800223           3.215915        4.801496            2.748940     4.802770         2.281965
config437    2.813544   2.531131    3.095957      100   0.002920       0.010283        1.339057     5.558978        12.583014       5.106867           6.406328        4.993839            4.862156       4.880811           3.317985        4.843135            2.803261     4.805459         2.288537
config170    2.850843   2.536423    3.165264      100   0.150281       0.052648        2.140976     5.230177        11.923237       4.864782           6.160052        4.773434            4.719256       4.682085           3.278460        4.651635            2.798195     4.621186         2.317930
config483    2.874087   2.557721    3.190452      100   0.016354       0.012856        1.762319     4.895495        10.128996       4.717278           5.538828        4.672724            4.391286       4.628170           3.243744        4.613318            2.861230     4.598467         2.478716
config24     2.882439   2.603196    3.161683      100   0.014855       0.009961        1.408792     5.584181        13.201848       5.251532           6.678036        5.168370            5.047083       5.085208           3.416129        5.057488            2.872478     5.029767         2.328827
config375    2.892340   2.626281    3.158399      100   0.024421       0.009452        1.365449     6.669132        16.225140       5.634153           7.798454        5.375409            5.691783       5.116664           3.585111        5.030416            2.882888     4.944168         2.180664
config251    2.927600   2.591997    3.263203      100   0.005192       0.041025        1.317869     4.826496         9.607490       4.847325           5.362702        4.852533            4.301505       4.857740           3.240308        4.859476            2.886575     4.861212         2.532843
config35     2.938426   2.633767    3.243084      100   0.010927       0.016877        0.733940     5.094257        11.101733       4.867546           5.935300        4.810868            4.643692       4.754191           3.352084        4.735298            2.921548     4.716406         2.491012
config224    2.966860   2.654691    3.279029      100   0.006581       0.047974        1.256254     5.012579        10.633691       4.809357           5.761182        4.758551            4.543055       4.707746           3.324928        4.690811            2.918885     4.673876         2.512843
config171    2.997081   2.647595    3.346566      100   0.002397       0.104712        1.567198     5.141972        10.364552       5.022733           5.645278        4.992923            4.465460       4.963113           3.285642        4.953177            2.892369     4.943240         2.499096
config442    3.026994   2.703884    3.350104      100   0.068572       0.028314        1.808897     5.114728         9.585298       4.740036           5.425329        4.646364            4.385336       4.552691           3.345344        4.521467            2.998680     4.490242         2.652016
config161    3.044230   2.733614    3.354845      100   0.009311       0.036110        1.097601     4.845770         9.670147       4.976623           5.462551        5.009336            4.410652       5.042049           3.358753        5.052953            3.008120     5.063858         2.657487
config127    3.058617   2.719943    3.397292      100   0.055512       0.086202        1.027663     4.848704         9.681002       4.772005           5.444000        4.752830            4.384749       4.733655           3.325499        4.727263            2.972415     4.720872         2.619332
config308    3.066502   2.753810    3.379194      100   0.002324       0.013263        1.404623     5.202280        10.824806       4.984388           5.916448        4.929915            4.689358       4.875442           3.462269        4.857285            3.053239     4.839127         2.644209
config125    3.074224   2.727742    3.420707      100   0.016498       0.034224        1.394900     4.590101         8.448150       4.809320           5.032476        4.864125            4.178558       4.918930           3.324640        4.937198            3.040000     4.955466         2.755361
config461    3.077132   2.735608    3.418656      100   0.073269       0.129495        1.075764     4.622500         9.528919       4.667541           5.372320        4.678801            4.333170       4.690062           3.294020        4.693815            2.947637     4.697569         2.601254
config476    3.082858   2.771312    3.394405      100   0.003514       0.022255        1.431157     5.507513        11.310002       5.054771           6.099856        4.941586            4.797319       4.828400           3.494782        4.790672            3.060603     4.752943         2.626425
config266    3.089805   2.765913    3.413697      100   0.002540       0.013196        1.174076     5.022711        10.075792       4.927173           5.655256        4.903288            4.550122       4.879404           3.444987        4.871442            3.076609     4.863481         2.708231
config225    3.092136   2.773991    3.410281      100   0.002404       0.006543        1.126666     5.380465         9.857215       4.980218           5.580401        4.880156            4.511198       4.780094           3.441994        4.746740            3.085593     4.713386         2.729192
config339    3.092573   2.756548    3.428598      100   0.160491       0.103626        2.099796     5.330486        10.851265       5.047146           5.885591        4.976311            4.644172       4.905476           3.402753        4.881864            2.988947     4.858253         2.575141
config64     3.094157   2.758620    3.429694      100   0.001621       0.001828        1.501242     5.364351        10.045624       5.164113           5.654069        5.114054            4.556181       5.063994           3.458292        5.047307            3.092329     5.030621         2.726367
config495    3.111891   2.815034    3.408748      100   0.018296       0.010535        1.577550     5.422993        12.185801       5.248940           6.448256        5.205427            5.013870       5.161913           3.579484        5.147409            3.101356     5.132904         2.623227
config219    3.130175   2.781880    3.478470      100   0.002071       0.041106        1.426657     4.948933         8.774346       4.873735           5.183645        4.854936            4.285969       4.836136           3.388294        4.829870            3.089069     4.823604         2.789844
config214    3.134120   2.786788    3.481452      100   0.102519       0.070344        1.282866     4.925178         9.304675       4.780277           5.363054        4.744052            4.377649       4.707827           3.392244        4.695752            3.063775     4.683676         2.735307
config273    3.145749   2.830557    3.460940      100   0.001361       0.013460        1.428964     5.059545         9.954253       4.991595           5.645644        4.974608            4.568492       4.957620           3.491340        4.951958            3.132289     4.946295         2.773238
config342    3.164298   2.833927    3.494670      100   0.025082       0.034011        1.255850     5.444057        12.032256       5.265600           6.409960        5.220986            5.004386       5.176372           3.598812        5.161501            3.130287     5.146629         2.661763
config405    3.182086   2.876051    3.488121      100   0.001678       0.014335        1.539423     5.619476        10.680534       5.338019           5.935619        5.267655            4.749390       5.197291           3.563161        5.173836            3.167751     5.150381         2.772341
config98     3.185280   2.853173    3.517387      100   0.001377       0.006982        1.751281     5.542060         9.688963       5.304141           5.576964        5.244661            4.548964       5.185181           3.520965        5.165354            3.178298     5.145527         2.835631
config213    3.220836   2.910585    3.531087      100   0.284901       0.130496        1.427423     5.456040        12.130108       5.036596           6.420781        4.931735            4.993449       4.826874           3.566117        4.791921            3.090340     4.756967         2.614563
config372    3.220955   2.902817    3.539092      100   0.000156       0.002601        1.186386     5.368583        10.164306       5.256763           5.777389        5.228808            4.680660       5.200853           3.583931        5.191535            3.218354     5.182217         2.852778
config394    3.222310   2.855340    3.589280      100   0.036802       0.036294        1.999465     4.975600         9.226090       4.872577           5.411307        4.846821            4.457611       4.821065           3.503915        4.812480            3.186016     4.803895         2.868117
config250    3.227589   2.911089    3.544089      100   0.001496       0.046270        1.270418     5.450693        11.442811       5.183146           6.225027        5.116259            4.920581       5.049372           3.616135        5.027076            3.181319     5.004780         2.746504
config440    3.229903   2.896397    3.563409      100   0.098075       0.141408        1.550135     5.125053         9.501125       4.933205           5.451043        4.885243            4.438522       4.837281           3.426002        4.821293            3.088495     4.805306         2.750988
config384    3.239691   2.917459    3.561923      100   0.006465       0.151639        0.967487     4.868466         9.528536       5.045955           5.460862        5.090327            4.443943       5.134700           3.427025        5.149491            3.088052     5.164281         2.749079
config460    3.240383   2.908623    3.572143      100   0.013808       0.047368        1.367214     5.108860         9.569659       4.963961           5.542305        4.927736            4.535466       4.891511           3.528628        4.879436            3.193015     4.867361         2.857402
config298    3.257820   2.912312    3.603329      100   0.018579       0.256356        1.797530     5.108337        11.369441       5.061463           6.084403        5.049745            4.763143       5.038026           3.441884        5.034120            3.001464     5.030214         2.561044
config109    3.268813   2.938217    3.599408      100   0.001454       0.012776        1.761443     5.088097        10.145838       5.007050           5.794385        4.986789            4.706521       4.966527           3.618658        4.959773            3.256037     4.953019         2.893416
config189    3.270179   2.949748    3.590609      100   0.211249       0.270380        1.901652     6.539727        16.036070       5.600632           7.802635        5.365858            5.744277       5.131084           3.685918        5.052826            2.999799     4.974568         2.313679
config16     3.277975   2.924939    3.631011      100   0.008131       0.016090        1.438843     5.337714         9.648024       5.179898           5.614673        5.140444            4.606336       5.100990           3.597998        5.087839            3.261885     5.074688         2.925773
config132    3.280523   2.940833    3.620213      100   0.005457       0.024313        1.628808     5.387296         9.782958       5.262454           5.660801        5.231244            4.630262       5.200034           3.599723        5.189630            3.256210     5.179227         2.912697
config121    3.298929   2.965664    3.632195      100   0.002259       0.012742        1.417570     5.710127        10.126399       5.450891           5.806265        5.386082            4.726232       5.321273           3.646199        5.299670            3.286188     5.278068         2.926177
config334    3.336108   2.968011    3.704205      100   0.018527       0.035391        1.368364     5.200714         9.323696       4.935002           5.519709        4.868574            4.568713       4.802146           3.617716        4.780004            3.300717     4.757861         2.983718
config101    3.338721   2.989041    3.688402      100   0.013543       0.033064        1.200142     5.126598        10.274946       5.043786           5.873290        5.023083            4.772876       5.002381           3.672462        4.995480            3.305658     4.988579         2.938853
config482    3.341392   3.009775    3.673009      100   0.006542       0.015765        1.143572     5.293779         9.256197       5.289034           5.510574        5.287848            4.574168       5.286662           3.637762        5.286267            3.325627     5.285871         3.013491
