
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.6 (shown are averages)
------------------------------
              eval-loss      lower-CI      upper-CI  n-seeds     train-mae  train-uUB-mae  train-time_min   test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95   test-qloss1  test-uUB-qloss1
config66   1.112524e+06  1.000610e+06  1.224438e+06      100  3.772399e+01   9.022347e+02        1.056024  1.433701e+06     1.660273e+06   1.131509e+06       1.111622e+06    1.055960e+06        9.744589e+05   9.804122e+05       8.372961e+05    9.552295e+05        7.915752e+05  9.300468e+05     7.458542e+05
config157  1.115668e+06  1.003031e+06  1.228305e+06      100  2.439656e+01   6.355767e+02        1.725734  1.443157e+06     1.513535e+06   1.135945e+06       1.115033e+06    1.059143e+06        1.015407e+06   9.823399e+05       9.157816e+05    9.567390e+05        8.825731e+05  9.311380e+05     8.493646e+05
config364  1.117835e+06  1.005826e+06  1.229843e+06      100  4.555304e+02   2.429290e+03        0.825967  1.477298e+06     1.750895e+06   1.126324e+06       1.115405e+06    1.038580e+06        9.565330e+05   9.508366e+05       7.976606e+05    9.215887e+05        7.447032e+05  8.923409e+05     6.917458e+05
config283  1.124740e+06  1.012354e+06  1.237126e+06      100  9.857493e-01   6.335086e+02        2.489503  1.426806e+06     1.604199e+06   1.168418e+06       1.124107e+06    1.103821e+06        1.004084e+06   1.039224e+06       8.840606e+05    1.017692e+06        8.440529e+05  9.961598e+05     8.040453e+05
config266  1.133807e+06  1.018952e+06  1.248661e+06      100  7.972757e+00   1.415354e+03        1.246933  1.465371e+06     1.870274e+06   1.122277e+06       1.132392e+06    1.036503e+06        9.479211e+05   9.507296e+05       7.634505e+05    9.221384e+05        7.019603e+05  8.935472e+05     6.404702e+05
config494  1.135727e+06  1.020650e+06  1.250803e+06      100  1.440273e+01   6.623334e+02        1.013883  1.549381e+06     1.537283e+06   1.152982e+06       1.135064e+06    1.053883e+06        1.034510e+06   9.547832e+05       9.339549e+05    9.217500e+05        9.004366e+05  8.887168e+05     8.669184e+05
config328  1.145138e+06  1.029739e+06  1.260537e+06      100  2.914837e+02   2.203406e+03        1.030531  1.400750e+06     1.753960e+06   1.132459e+06       1.142935e+06    1.065386e+06        9.901784e+05   9.983135e+05       8.374220e+05    9.759559e+05        7.865033e+05  9.535984e+05     7.355845e+05
config62   1.156094e+06  1.038565e+06  1.273623e+06      100  9.608707e+00   1.378592e+03        1.852542  1.464114e+06     2.044963e+06   1.112328e+06       1.154715e+06    1.024381e+06        9.321534e+05   9.364349e+05       7.095915e+05    9.071193e+05        6.354042e+05  8.778038e+05     5.612169e+05
config148  1.160143e+06  1.042710e+06  1.277577e+06      100  1.373709e+01   1.367903e+03        0.734838  1.459920e+06     1.967289e+06   1.158837e+06       1.158776e+06    1.083567e+06        9.566473e+05   1.008296e+06       7.545191e+05    9.832060e+05        6.871430e+05  9.581158e+05     6.197669e+05
config94   1.160818e+06  1.045079e+06  1.276558e+06      100  1.274201e+02   7.208205e+02        1.268815  1.537121e+06     1.480778e+06   1.200270e+06       1.160098e+06    1.116057e+06        1.079927e+06   1.031844e+06       9.997573e+05    1.003773e+06        9.730339e+05  9.757022e+05     9.463106e+05
