
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.6 (shown are averages)
------------------------------
              eval-loss      lower-CI      upper-CI  n-seeds     train-mae  train-uUB-mae  train-time_min   test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95   test-qloss1  test-uUB-qloss1
config43   5.552048e+07  5.321893e+07  5.782203e+07      100  1.244276e+03   4.406286e+04        1.190941  7.919577e+07     7.957488e+07   5.684958e+07       5.547642e+07    5.126304e+07        4.945180e+07   4.567649e+07       4.342719e+07    4.381431e+07        4.141898e+07  4.195212e+07     3.941078e+07
config157  5.698950e+07  5.454841e+07  5.943059e+07      100  4.286973e+02   4.263586e+04        1.662477  7.309758e+07     8.185229e+07   5.778211e+07       5.694686e+07    5.395324e+07        5.072051e+07   5.012437e+07       4.449415e+07    4.884808e+07        4.241870e+07  4.757180e+07     4.034325e+07
config496  5.709416e+07  5.462209e+07  5.956623e+07      100  3.049175e+03   7.624038e+04        1.279581  7.146760e+07     9.506387e+07   5.673351e+07       5.701792e+07    5.304998e+07        4.750643e+07   4.936646e+07       3.799494e+07    4.813862e+07        3.482445e+07  4.691078e+07     3.165395e+07
config200  5.746744e+07  5.500969e+07  5.992519e+07      100  1.513768e+03   1.091006e+05        1.527048  7.086175e+07     7.275825e+07   5.809409e+07       5.735834e+07    5.490217e+07        5.350836e+07   5.171026e+07       4.965838e+07    5.064629e+07        4.837506e+07  4.958232e+07     4.709173e+07
config479  5.759612e+07  5.499960e+07  6.019263e+07      100  6.590313e+02   3.370654e+04        1.436269  7.367979e+07     7.345231e+07   5.853684e+07       5.756241e+07    5.475110e+07        5.358993e+07   5.096536e+07       4.961746e+07    4.970345e+07        4.829330e+07  4.844153e+07     4.696914e+07
config223  5.776430e+07  5.524090e+07  6.028769e+07      100  2.559644e+02   1.983550e+05        1.705871  7.221892e+07     8.900096e+07   5.871260e+07       5.756594e+07    5.533602e+07        4.970719e+07   5.195944e+07       4.184843e+07    5.083391e+07        3.922885e+07  4.970838e+07     3.660926e+07
config477  5.777929e+07  5.519796e+07  6.036062e+07      100  4.144503e+02   3.852937e+04        1.431985  7.203642e+07     7.442339e+07   5.954295e+07       5.774076e+07    5.641958e+07        5.357010e+07   5.329621e+07       4.939944e+07    5.225509e+07        4.800922e+07  5.121396e+07     4.661900e+07
config420  5.790418e+07  5.524899e+07  6.055937e+07      100  6.414627e+03   8.079565e+04        1.079171  7.046916e+07     7.723076e+07   5.981200e+07       5.782338e+07    5.714771e+07        5.297154e+07   5.448342e+07       4.811970e+07    5.359533e+07        4.650242e+07  5.270723e+07     4.488514e+07
config192  5.790852e+07  5.535336e+07  6.046368e+07      100  6.401851e+02   6.713952e+04        1.717841  7.035173e+07     8.643218e+07   5.976066e+07       5.784138e+07    5.711289e+07        5.069368e+07   5.446513e+07       4.354599e+07    5.358254e+07        4.116342e+07  5.269995e+07     3.878085e+07
config82   5.813235e+07  5.556258e+07  6.070213e+07      100  4.708717e+02   8.287492e+04        0.857680  7.238933e+07     8.983323e+07   6.027706e+07       5.804948e+07    5.724899e+07        5.010354e+07   5.422092e+07       4.215761e+07    5.321157e+07        3.950896e+07  5.220221e+07     3.686031e+07
config217  5.816856e+07  5.551812e+07  6.081900e+07      100  3.626661e+03   4.175320e+04        1.025207  6.697575e+07     7.163800e+07   6.163202e+07       5.812681e+07    6.029608e+07        5.474901e+07   5.896015e+07       5.137121e+07    5.851484e+07        5.024527e+07  5.806952e+07     4.911934e+07
config98   5.832279e+07  5.571452e+07  6.093106e+07      100  7.752451e+02   8.380818e+04        1.173874  7.297575e+07     7.500847e+07   6.030121e+07       5.823898e+07    5.713257e+07        5.404661e+07   5.396393e+07       4.985424e+07    5.290772e+07        4.845678e+07  5.185151e+07     4.705932e+07
config382  5.866553e+07  5.598356e+07  6.134749e+07      100  4.214318e+02   2.049831e+05        1.350609  7.996204e+07     9.233850e+07   5.856575e+07       5.846054e+07    5.321668e+07        4.999105e+07   4.786761e+07       4.152157e+07    4.608458e+07        3.869840e+07  4.430156e+07     3.587524e+07
config343  5.894834e+07  5.652651e+07  6.137016e+07      100  6.561841e+01   4.257105e+05        1.345558  7.264297e+07     7.843408e+07   5.627690e+07       5.852262e+07    5.218538e+07        5.354476e+07   4.809386e+07       4.856690e+07    4.673003e+07        4.690761e+07  4.536619e+07     4.524832e+07
config107  5.896399e+07  5.632093e+07  6.160705e+07      100  7.634556e+03   8.109246e+04        1.427616  7.038064e+07     6.930622e+07   5.892551e+07       5.888290e+07    5.606172e+07        5.627707e+07   5.319794e+07       5.367123e+07    5.224334e+07        5.280262e+07  5.128875e+07     5.193401e+07
config372  5.901615e+07  5.647946e+07  6.155284e+07      100  1.036450e+04   9.783623e+04        2.304119  6.340380e+07     7.917640e+07   5.991668e+07       5.891831e+07    5.904490e+07        5.385379e+07   5.817312e+07       4.878927e+07    5.788252e+07        4.710109e+07  5.759193e+07     4.541292e+07
config31   5.908226e+07  5.670983e+07  6.145469e+07      100  7.017262e+02   5.345529e+05        1.982238  7.402334e+07     8.286871e+07   5.689735e+07       5.854771e+07    5.261585e+07        5.246746e+07   4.833435e+07       4.638721e+07    4.690718e+07        4.436046e+07  4.548002e+07     4.233371e+07
config45   5.909797e+07  5.640924e+07  6.178669e+07      100  1.069591e+03   6.256096e+04        2.128458  7.106325e+07     7.828620e+07   6.121289e+07       5.903540e+07    5.875030e+07        5.422271e+07   5.628771e+07       4.941001e+07    5.546685e+07        4.780578e+07  5.464599e+07     4.620154e+07
config344  5.912456e+07  5.652651e+07  6.172262e+07      100  3.697962e+03   3.708264e+04        1.009672  7.969773e+07     8.250725e+07   6.054428e+07       5.908748e+07    5.575592e+07        5.323254e+07   5.096755e+07       4.737760e+07    4.937143e+07        4.542595e+07  4.777531e+07     4.347430e+07
