
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.95 (shown are averages)
------------------------------
               eval-loss      lower-CI      upper-CI  n-seeds     train-mae  train-uUB-mae  train-time_min   test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95   test-qloss1  test-uUB-qloss1
config646   1.469723e+06  1.335186e+06  1.604261e+06      100  1.396035e+01   5.917240e+03        1.592256  5.297810e+06     1.329452e+07   4.059707e+06       5.822492e+06    3.750181e+06        3.954484e+06   3.440656e+06       2.086476e+06    3.337480e+06        1.463806e+06  3.234305e+06     8.411369e+05
config743   1.629421e+06  1.484526e+06  1.774316e+06      100  4.251352e+02   6.110219e+03        1.834906  5.419394e+06     1.171945e+07   4.034043e+06       5.342940e+06    3.687705e+06        3.748813e+06   3.341367e+06       2.154687e+06    3.225921e+06        1.623311e+06  3.110475e+06     1.091935e+06
config719   1.648581e+06  1.499713e+06  1.797450e+06      100  5.410735e+01   2.192230e+03        1.537683  5.404052e+06     1.446338e+07   4.284077e+06       6.368438e+06    4.004083e+06        4.344703e+06   3.724089e+06       2.320968e+06    3.630758e+06        1.646389e+06  3.537427e+06     9.718109e+05
config549   1.649247e+06  1.497359e+06  1.801136e+06      100  2.025939e+01   1.582135e+03        1.904752  5.363577e+06     1.220371e+07   4.220608e+06       5.536734e+06    3.934865e+06        3.869990e+06   3.649123e+06       2.203246e+06    3.553876e+06        1.647665e+06  3.458628e+06     1.092084e+06
config923   1.659676e+06  1.520484e+06  1.798869e+06      100  4.670972e+03   5.814694e+03        1.705449  5.435062e+06     1.098462e+07   4.141585e+06       5.091508e+06    3.818216e+06        3.618231e+06   3.494847e+06       2.144954e+06    3.387057e+06        1.653862e+06  3.279267e+06     1.162769e+06
config702   1.676679e+06  1.526087e+06  1.827272e+06      100  8.483653e+02   5.635694e+03        1.069121  5.375814e+06     1.206815e+07   4.217227e+06       5.501556e+06    3.927580e+06        3.859908e+06   3.637933e+06       2.218260e+06    3.541384e+06        1.671044e+06  3.444835e+06     1.123828e+06
config759   1.679107e+06  1.536466e+06  1.821748e+06      100  1.050137e+01   6.130928e+03        2.635786  5.700919e+06     1.068740e+07   4.093850e+06       4.994079e+06    3.692083e+06        3.570749e+06   3.290315e+06       2.147419e+06    3.156393e+06        1.672976e+06  3.022470e+06     1.198532e+06
config809   1.691802e+06  1.538638e+06  1.844967e+06      100  2.089135e+02   3.888261e+03        1.874767  5.366097e+06     1.248651e+07   4.390407e+06       5.666344e+06    4.146485e+06        3.961303e+06   3.902563e+06       2.256261e+06    3.821255e+06        1.687914e+06  3.739948e+06     1.119567e+06
config755   1.692395e+06  1.543846e+06  1.840944e+06      100  3.099540e+03   4.043436e+04        1.257469  5.281429e+06     1.263833e+07   4.162488e+06       5.699569e+06    3.882753e+06        3.964880e+06   3.603018e+06       2.230190e+06    3.509773e+06        1.651961e+06  3.416528e+06     1.073731e+06
config925   1.704147e+06  1.561329e+06  1.846964e+06      100  1.523642e+03   8.128362e+03        1.353142  5.244410e+06     1.048626e+07   4.005510e+06       4.934529e+06    3.695785e+06        3.546596e+06   3.386060e+06       2.158663e+06    3.282818e+06        1.696018e+06  3.179577e+06     1.233374e+06
