
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.75 (shown are averages)
------------------------------
            eval-loss    lower-CI    upper-CI  n-seeds   train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config207    1.986048    1.904833    2.067263      100    0.055909       0.025871        1.260401     2.284102         4.131364       2.156800           2.394415        2.124974            1.960178       2.093149           1.525940        2.082540            1.381195     2.071932         1.236449
config12     2.058656    1.974054    2.143258      100    0.114576       0.008313        1.049026     2.264950         5.340959       2.038388           2.708466        1.981748            2.050343       1.925108           1.392219        1.906227            1.172845     1.887347         0.953470
config48     2.077789    1.992082    2.163496      100    0.141175       0.046411        1.419870     2.280170         4.836731       2.082926           2.592449        2.033614            2.031378       1.984303           1.470308        1.967866            1.283284     1.951429         1.096261
config59     2.087419    1.982664    2.192175      100    0.054161       0.069845        1.051969     2.504907         3.888644       2.255729           2.391788        2.193434            2.017574       2.131140           1.643360        2.110375            1.518622     2.089610         1.393884
config334    2.106828    1.994419    2.219237      100    0.014382       0.032737        1.733334     2.707536         3.926859       2.277886           2.444645        2.170473            2.074091       2.063061           1.703538        2.027257            1.580020     1.991452         1.456502
config212    2.108062    2.004163    2.211962      100    0.094861       0.151769        1.471026     2.339909         2.856221       2.067930           2.136279        1.999936            1.956294       1.931941           1.776308        1.909276            1.716313     1.886612         1.656318
config282    2.112587    1.997696    2.227477      100    1.121821       0.153534        1.227966     3.070889         2.760556       2.550276           2.119353        2.420123            1.959052       2.289970           1.798752        2.246586            1.745318     2.203201         1.691885
config109    2.120020    2.027897    2.212142      100    0.028640       0.031808        1.329519     2.836419         4.020651       2.287870           2.474700        2.150733            2.088212       2.013596           1.701724        1.967883            1.572895     1.922171         1.444065
config477    2.130365    2.029033    2.231697      100    0.043890       0.039377        1.659440     2.469780         4.724982       2.382444           2.617787        2.360610            2.090988       2.338777           1.564189        2.331499            1.388590     2.324221         1.212990
config373    2.159888    2.065435    2.254341      100    0.009085       0.012629        1.525566     2.630221         5.151149       2.402526           2.748037        2.345602            2.147259       2.288678           1.546481        2.269703            1.346222     2.250729         1.145963
config395    2.175654    2.054798    2.296510      100    0.027637       0.054847        1.974428     2.732147         2.820200       2.230755           2.260685        2.105406            2.120807       1.980058           1.980928        1.938275            1.934302     1.896493         1.887676
config176    2.185831    2.092826    2.278836      100    0.005368       0.030630        1.883386     2.491593         3.074355       2.327104           2.339032        2.285982            2.155201       2.244860           1.971370        2.231153            1.910093     2.217445         1.848816
config459    2.190097    2.092692    2.287502      100    0.180303       0.009973        2.030916     2.461427         5.383224       2.239490           2.820744        2.184006            2.180124       2.128522           1.539504        2.110027            1.325964     2.091532         1.112424
config356    2.195570    2.087133    2.304007      100    0.038813       0.018409        1.693535     2.807638         5.352867       2.312005           2.812302        2.188097            2.177160       2.064189           1.542019        2.022886            1.330305     1.981583         1.118591
config427    2.196929    2.081606    2.312252      100    0.049808       0.071846        2.122378     2.560142         2.952125       2.443578           2.290491        2.414436            2.125083       2.385295           1.959674        2.375581            1.904538     2.365868         1.849402
config387    2.198210    2.084310    2.312111      100    0.072673       0.062126        1.201057     2.476578         4.102204       2.258201           2.529308        2.203607            2.136085       2.149012           1.742861        2.130814            1.611786     2.112616         1.480711
config464    2.201680    2.104776    2.298584      100    0.077657       0.077375        1.064935     2.539152         4.603490       2.327037           2.620142        2.274008            2.124305       2.220980           1.628468        2.203303            1.463189     2.185627         1.297910
config44     2.209803    2.107042    2.312565      100    0.116135       0.136369        2.231541     2.265623         4.662204       2.262723           2.591188        2.261998            2.073434       2.261273           1.555680        2.261031            1.383096     2.260789         1.210511
