
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.9 (shown are averages)
------------------------------
           eval-loss   lower-CI   upper-CI  n-seeds  train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config386   0.030998   0.025674   0.036323      100   0.265762       0.010680        1.781368     0.238862         0.066017       0.167324           0.035551        0.149439            0.027935       0.131554           0.020319        0.125593            0.017780     0.119631         0.015241
config445   0.033579   0.029295   0.037862      100   0.004469       0.007234        1.556431     0.065237         0.068700       0.038242           0.040463        0.031493            0.033404       0.024744           0.026344        0.022495            0.023991     0.020245         0.021638
config113   0.039260   0.036339   0.042182      100   0.002043       0.007845        1.867455     0.106065         0.137175       0.059572           0.066668        0.047949            0.049042       0.036326           0.031415        0.032452            0.025540     0.028577         0.019664
config326   0.039686   0.035461   0.043910      100   0.030614       0.003832        1.261663     0.150841         0.151672       0.087224           0.074460        0.071319            0.055157       0.055415           0.035854        0.050114            0.029419     0.044812         0.022985
config207   0.040500   0.035423   0.045577      100   0.003005       0.012819        1.757502     0.077399         0.087065       0.042530           0.047476        0.033813            0.037578       0.025096           0.027681        0.022190            0.024382     0.019284         0.021083
config296   0.054432   0.043470   0.065395      100   0.607515       0.018773        2.007296     0.479660         0.123105       0.322179           0.064808        0.282808            0.050233       0.243438           0.035659        0.230314            0.030801     0.217191         0.025943
config462   0.054678   0.046084   0.063271      100   0.121034       0.005985        1.068472     0.187979         0.100217       0.130869           0.065867        0.116592            0.057280       0.102314           0.048693        0.097555            0.045830     0.092796         0.042968
config338   0.054710   0.050016   0.059403      100   0.005045       0.007799        1.048368     0.171819         0.178757       0.087665           0.090860        0.066626            0.068885       0.045587           0.046911        0.038575            0.039586     0.031562         0.032261
config290   0.057483   0.051590   0.063375      100   0.003378       0.005328        1.835600     0.112949         0.095266       0.072896           0.066525        0.062883            0.059340       0.052870           0.052155        0.049532            0.049760     0.046195         0.047365
config169   0.058955   0.052556   0.065354      100   0.003623       0.004735        1.808988     0.090588         0.097669       0.068539           0.068703        0.063027            0.061462       0.057515           0.054220        0.055677            0.051806     0.053840         0.049392
config433   0.063638   0.047834   0.079442      100   0.520672       0.016259        2.470624     0.410327         0.121887       0.288832           0.072215        0.258459            0.059797       0.228085           0.047379        0.217960            0.043240     0.207836         0.039101
config196   0.064039   0.057083   0.070995      100   0.002755       0.005542        2.723337     0.103711         0.108716       0.075945           0.075237        0.069004            0.066867       0.062062           0.058497        0.059749            0.055707     0.057435         0.052917
config229   0.068736   0.061466   0.076006      100   0.002928       0.011492        1.474321     0.122497         0.150633       0.084752           0.088374        0.075316            0.072809       0.065880           0.057244        0.062735            0.052056     0.059589         0.046868
config359   0.069686   0.057793   0.081580      100   0.667121       0.022944        1.413878     0.568360         0.143687       0.414526           0.079057        0.376068            0.062900       0.337609           0.046742        0.324790            0.041357     0.311970         0.035971
config202   0.071289   0.066035   0.076543      100   0.059663       0.007236        0.778913     0.192760         0.172314       0.131809           0.100140        0.116572            0.082097       0.101334           0.064053        0.096255            0.058039     0.091176         0.052024
config92    0.072352   0.057952   0.086753      100   0.593731       0.016952        1.600039     0.463957         0.105219       0.336167           0.072006        0.304219            0.063703       0.272272           0.055400        0.261623            0.052632     0.250974         0.049864
config109   0.073360   0.065137   0.081584      100   0.002653       0.013620        2.419665     0.113131         0.160177       0.080771           0.093219        0.072682            0.076480       0.064592           0.059740        0.061895            0.054161     0.059198         0.048581
config245   0.074079   0.067162   0.080997      100   0.018560       0.010579        1.685435     0.173249         0.161428       0.101708           0.096143        0.083823            0.079821       0.065938           0.063500        0.059976            0.058060     0.054014         0.052619
config404   0.074805   0.066757   0.082853      100   0.126962       0.008629        1.108983     0.215580         0.129349       0.150995           0.087234        0.134848            0.076705       0.118702           0.066176        0.113320            0.062667     0.107938         0.059157
config198   0.074870   0.055013   0.094727      100   1.188589       0.027461        1.427190     0.920268         0.131707       0.653425           0.075508        0.586714            0.061459       0.520004           0.047409        0.497767            0.042726     0.475530         0.038043
config327   0.078783   0.073940   0.083625      100   0.001294       0.006577        2.022642     0.145735         0.234504       0.086379           0.126305        0.071540            0.099255       0.056701           0.072205        0.051754            0.063189     0.046808         0.054172
config339   0.079034   0.068509   0.089559      100   0.003461       0.008001        1.801555     0.106327         0.125813       0.063094           0.089293        0.052286            0.080163       0.041478           0.071033        0.037875            0.067990     0.034273         0.064947
config42    0.079685   0.070729   0.088640      100   0.323512       0.009779        1.636191     0.338829         0.128306       0.261808           0.089372        0.242553            0.079639       0.223297           0.069905        0.216879            0.066661     0.210461         0.063416
config213   0.079815   0.074304   0.085326      100   0.007498       0.006956        1.723956     0.267944         0.262543       0.146308           0.136087        0.115899            0.104473       0.085490           0.072859        0.075354            0.062321     0.065218         0.051783
config276   0.080978   0.074654   0.087301      100   0.007057       0.042206        0.688735     0.094344         0.175168       0.061984           0.084237        0.053893            0.061504       0.045803           0.038772        0.043107            0.031194     0.040410         0.023617
config186   0.081276   0.060799   0.101752      100   0.018864       0.014917        2.424659     0.137229         0.164201       0.083301           0.098973        0.069819            0.082665       0.056337           0.066358        0.051843            0.060923     0.047349         0.055487
config334   0.082029   0.071941   0.092116      100   0.779732       0.008260        1.180663     0.572918         0.127666       0.415470           0.091735        0.376108            0.082752       0.336746           0.073769        0.323626            0.070775     0.310505         0.067780
config4     0.083173   0.072808   0.093537      100   0.014343       0.015906        2.136955     0.173766         0.205962       0.100016           0.113498        0.081579            0.090382       0.063141           0.067266        0.056995            0.059561     0.050850         0.051856
config423   0.084638   0.076715   0.092562      100   0.002182       0.003581        2.117521     0.157815         0.184008       0.107753           0.115375        0.095238            0.098216       0.082723           0.081058        0.078551            0.075338     0.074379         0.069619
config499   0.085292   0.079597   0.090987      100   0.005958       0.010901        1.252805     0.195294         0.244843       0.126023           0.131208        0.108706            0.102800       0.091388           0.074391        0.085616            0.064921     0.079843         0.055452
config331   0.085472   0.075921   0.095022      100   0.003246       0.022066        2.125020     0.113304         0.224737       0.076859           0.117183        0.067748            0.090295       0.058637           0.063406        0.055600            0.054443     0.052563         0.045480
config428   0.086267   0.062185   0.110349      100   0.092832       0.020974        1.253343     0.204406         0.155739       0.119685           0.095442        0.098505            0.080368       0.077325           0.065293        0.070265            0.060268     0.063204         0.055244
config2     0.087081   0.076075   0.098087      100   0.032376       0.015902        1.847407     0.171312         0.286588       0.106868           0.142982        0.090757            0.107080       0.074646           0.071179        0.069275            0.059212     0.063905         0.047245
config318   0.087715   0.075885   0.099545      100   0.064607       0.011621        1.216834     0.192293         0.144313       0.115186           0.098834        0.095909            0.087464       0.076632           0.076094        0.070206            0.072304     0.063780         0.068514
config50    0.087733   0.080450   0.095016      100   0.003360       0.009085        1.643495     0.175661         0.234229       0.111766           0.130508        0.095792            0.104578       0.079819           0.078648        0.074494            0.070004     0.069170         0.061361
config216   0.088242   0.082999   0.093484      100   0.001688       0.005832        1.162325     0.163689         0.266370       0.091358           0.143729        0.073276            0.113069       0.055193           0.082409        0.049165            0.072189     0.043138         0.061969
