
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.95 (shown are averages)
------------------------------
             eval-loss     lower-CI     upper-CI  n-seeds    train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config63      5.145274     4.799940     5.490608      100     1.331553       0.127623        1.695005     7.916456        23.810417       7.155942          11.941302        6.965814            8.974023       6.775685           6.006744        6.712309            5.017651     6.648933         4.028558
config463     5.999200     5.661451     6.336948      100     0.930375       0.131624        2.453251     8.458879        30.889971       7.498925          15.086353        7.258936           11.135448       7.018948           7.184543        6.938952            5.867575     6.858956         4.550607
config155     6.358195     6.029515     6.686876      100     0.383046       0.258716        2.055771     9.339740        30.501362       8.563104          15.089647        8.368945           11.236718       8.174786           7.383789        8.110066            6.099479     8.045346         4.815170
config404     6.458720     5.899616     7.017824      100     1.204716       0.964023        1.907229     8.244715        11.608310       7.126024           7.747081        6.846351            6.781773       6.566679           5.816466        6.473454            5.494697     6.380230         5.172928
config171     6.852719     6.465407     7.240031      100     0.713400       0.287746        1.554513     8.357283        30.789501       7.937746          15.489799        7.832861           11.664874       7.727977           7.839949        7.693015            6.564973     7.658054         5.289998
config440     6.876063     6.467294     7.284833      100     0.544555       0.104333        2.055937     8.319552        30.389992       7.888488          15.473195        7.780723           11.743996       7.672957           8.014797        7.637035            6.771731     7.601113         5.528664
config40      6.983831     6.519884     7.447777      100     1.020871       0.823588        1.901912     9.913794        10.792903       8.970394           7.867012        8.734544            7.135540       8.498694           6.404067        8.420077            6.160243     8.341461         5.916419
config438     7.108656     6.647823     7.569490      100     1.533757       0.476650        1.748365     8.019406        27.628898       7.180811          14.367703        6.971162           11.052404       6.761514           7.737105        6.691631            6.632006     6.621748         5.526906
config49      7.158301     6.742155     7.574448      100     0.861222       0.161158        2.561020     8.292156        28.555534       8.150905          14.939708        8.115592           11.535751       8.080279           8.131795        8.068508            6.997143     8.056737         5.862490
config476     7.174746     6.681103     7.668388      100     1.411843       1.354449        1.834917     7.852131        18.637584       7.065614          10.542455        6.868985            8.518673       6.672356           6.494891        6.606813            5.820297     6.541270         5.145703
config239     7.226287     6.844417     7.608158      100     0.737369       0.500742        1.366102     8.022499         8.174314       7.814872           7.259302        7.762965            7.030549       7.711058           6.801796        7.693756            6.725545     7.676454         6.649294
config492     7.337966     6.931523     7.744408      100     0.925200       0.771891        1.801229     8.629125         8.452306       8.178867           7.261002        8.066303            6.963175       7.953739           6.665349        7.916217            6.566074     7.878696         6.466799
config325     7.345217     6.839911     7.850522      100     0.278539       0.264377        2.108724    11.593338        21.163763      10.243834          12.269285        9.906458           10.045665       9.569082           7.822046        9.456623            7.080839     9.344165         6.339633
config367     7.437321     7.043229     7.831414      100     0.761551       0.232007        1.056725     8.318520        28.328620       7.919256          14.987585        7.819440           11.652326       7.719624           8.317067        7.686352            7.205314     7.653080         6.093561
config421     7.486886     7.003219     7.970552      100     1.846948       1.723497        1.819704     6.930863        19.207113       7.094362          10.716340        7.135237            8.593647       7.176111           6.470953        7.189736            5.763389     7.203361         5.055825
config189     7.508620     7.023165     7.994075      100     0.781303       0.498980        1.795064     7.171656         9.877741       7.202070           8.066309        7.209674            7.613451       7.217277           7.160593        7.219812            7.009640     7.222346         6.858687
config267     7.515771     7.092514     7.939029      100     0.687824       0.130266        1.645708     8.231869        34.740389       8.095096          17.463620        8.060903           13.144428       8.026710           8.825236        8.015312            7.385505     8.003915         5.945775
config441     7.543670     7.085357     8.001984      100     1.088870       0.410160        0.981716     8.448144        27.436703       8.128120          14.613634        8.048114           11.407866       7.968108           8.202099        7.941439            7.133510     7.914771         6.064921
config84      7.582858     7.156875     8.008841      100     0.950063       0.706365        0.915923     7.939375        20.429820       7.611076          11.869824        7.529001            9.729825       7.446926           7.589826        7.419568            6.876493     7.392210         6.163160
config142     7.596009     6.745205     8.446813      100     8.244331       0.548919        2.330562    15.269042        36.404552      13.404220          17.862997       12.938015           13.227608      12.471809           8.592219       12.316407            7.047090    12.161006         5.501960
config241     7.661984     7.080263     8.243705      100     1.615642       0.919939        2.748903     7.405077        24.484663       6.859395          13.278799        6.722975           10.477333       6.586554           7.675867        6.541081            6.742045     6.495607         5.808223
config410     7.683624     7.220601     8.146647      100     0.247657       0.202713        1.625441    10.517087        20.046389      10.882819          12.110298       10.974252           10.126275      11.065685           8.142253       11.096163            7.480912    11.126641         6.819571
config244     7.747959     7.199548     8.296370      100     0.478502       0.503303        2.155765     9.362849        11.883811       7.735751           8.953818        7.328976            8.221320       6.922201           7.488822        6.786610            7.244656     6.651018         7.000489
config2       7.762203     7.309622     8.214784      100     1.187974       0.739137        1.080761     8.840080        24.952826       8.253297          13.628767        8.106601           10.797753       7.959905           7.966738        7.911007            7.023066     7.862108         6.079395
config264     7.777155     7.336542     8.217768      100     1.555650       2.175241        1.548722     7.542625        20.274395       6.660873          11.007565        6.440435            8.690858       6.219997           6.374150        6.146518            5.601915     6.073038         4.829679
config263     7.840517     7.321702     8.359331      100     0.236717       0.301643        1.794142    11.738210        33.496635      11.495167          17.102259       11.434406           13.003665      11.373645           8.905071       11.353392            7.538873    11.333138         6.172675
config3       7.853731     7.309222     8.398239      100     0.682774       0.137267        2.093747     9.393541        33.399166       9.058056          17.178512        8.974184           13.123348       8.890313           9.068184        8.862356            7.716463     8.834398         6.364742
config296     7.932730     6.987015     8.878444      100    13.710943       0.181862        2.096803    19.021790        34.426811      15.556069          17.578847       14.689639           13.366856      13.823209           9.154865       13.534399            7.750868    13.245589         6.346871
config377     7.938809     7.447461     8.430158      100     0.362010       0.332623        1.953729    11.100563        30.967742      10.377757          16.213075       10.197055           12.524408      10.016353           8.835741        9.956119            7.606186     9.895886         6.376630
config330     7.939587     7.513937     8.365237      100     0.456503       0.107121        1.279337    10.184551        32.324525       9.046729          16.855856        8.762274           12.988689       8.477819           9.121521        8.383000            7.832466     8.288182         6.543410
config303     7.977080     7.479426     8.474734      100     1.182864       0.679288        1.380025     9.485314        30.954683       8.595879          16.013489        8.373520           12.278191       8.151161           8.542892        8.077041            7.297792     8.002922         6.052693
config253     8.059468     7.539997     8.578940      100     1.627782       1.691109        1.831767     8.149249        12.518640       7.466444           8.634252        7.295743            7.663156       7.125042           6.692059        7.068141            6.368360     7.011241         6.044661
config69      8.060383     7.562330     8.558437      100     1.036286       0.639083        1.243426    10.329826        35.765308       8.910119          17.863829        8.555192           13.388460       8.200265           8.913090        8.081956            7.421300     7.963647         5.929510
config129     8.117980     7.622915     8.613044      100     1.184915       0.885214        1.859624     9.236417        10.459156       9.199565           8.421435        9.190352            7.912005       9.181139           7.402575        9.178068            7.232765     9.174997         7.062955
config331     8.127217     7.524676     8.729759      100     1.208157       1.298213        2.015058     9.625481        17.225605       8.998658          10.659331        8.841952            9.017763       8.685246           7.376194        8.633011            6.829005     8.580775         6.281815
config42      8.178794     7.753474     8.604114      100     0.741504       0.356147        0.981851     9.126105        36.303092       8.294816          18.315442        8.086994           13.818530       7.879171           9.321618        7.809897            7.822647     7.740623         6.323676
config302     8.183372     7.642242     8.724502      100     1.594554       1.582846        1.521945     7.009039        11.738952       7.675096           8.493630        7.841611            7.682300       8.008125           6.870970        8.063630            6.600526     8.119135         6.330083
config192     8.186387     7.627930     8.744845      100     2.642440       1.685687        0.754429     7.744293        30.465817       7.323853          15.329954        7.218743           11.545988       7.113632           7.762023        7.078596            6.500701     7.043559         5.239379
config372     8.202178     7.677809     8.726548      100     0.912443       0.160928        1.385601    13.316800        31.625561      11.230481          16.730207       10.708901           13.006369      10.187322           9.282530       10.013462            8.041251     9.839602         6.799971
config338     8.203826     7.705371     8.702281      100     0.788355       0.216274        0.731336     9.547130        30.251508       8.443445          16.190062        8.167523           12.674701       7.891602           9.159339        7.799628            7.987552     7.707655         6.815765
config436     8.206650     7.702380     8.710919      100     0.258944       0.409548        1.739154    10.548845        16.770741      10.065387          11.103179        9.944522            9.686289       9.823658           8.269399        9.783370            7.797102     9.743081         7.324805
config272     8.237336     7.756880     8.717791      100     1.738710       0.301746        0.897464     8.526552        32.036699       7.652846          16.814946        7.434419           13.009507       7.215992           9.204069        7.143183            7.935589     7.070374         6.667110
config403     8.271970     7.800104     8.743837      100     2.539373       0.571644        1.150084     9.090609        27.842529       8.316584          15.121138        8.123077           11.940790       7.929571           8.760442        7.865069            7.700326     7.800567         6.640210
config86      8.274408     7.723856     8.824959      100     0.933457       1.073634        1.974751     8.300258         9.436930       7.848521           8.024621        7.735587            7.671543       7.622653           7.318466        7.585009            7.200773     7.547364         7.083081
config409     8.281636     7.793940     8.769331      100     1.285692       1.517560        1.368857     7.418684         8.057069       6.960456           7.240442        6.845899            7.036285       6.731342           6.832128        6.693157            6.764076     6.654971         6.696024
config67      8.308412     7.709858     8.906967      100     1.073968       1.199724        0.985962     8.592179         8.867932       7.731667           7.756831        7.516539            7.479056       7.301411           7.201280        7.229701            7.108689     7.157992         7.016097
config259     8.338837     7.772712     8.904963      100     0.080357       0.233557        2.723699    12.006823        22.366270      11.776061          13.359330       11.718370           11.107594      11.660680           8.855859       11.641450            8.105281    11.622219         7.354702
config305     8.352226     7.844929     8.859523      100     0.270778       0.741222        1.280524    13.667983        23.095499      11.058518          13.315817       10.406152           10.870897       9.753786           8.425977        9.536330            7.611003     9.318875         6.796030
config160     8.394787     7.903001     8.886572      100     0.823029       1.174965        1.326934     8.355204         9.503463       8.022843           8.061163        7.939753            7.700588       7.856663           7.340013        7.828966            7.219822     7.801270         7.099630
config482     8.443399     7.803950     9.082848      100     0.572860       0.700421        1.139545    11.277531        39.272988       9.636821          19.359297        9.226644           14.380875       8.816466           9.402452        8.679740            7.742978     8.543015         6.083503
config256     8.454161     7.916047     8.992274      100     1.613839       1.905760        0.973583     8.935662        13.605717       8.219503           9.148465        8.040463            8.034152       7.861423           6.919839        7.801743            6.548401     7.742063         6.176963
config55      8.483081     7.926817     9.039344      100     1.967175       1.791273        1.656653     6.690066        18.497443       7.046247          11.041252        7.135293            9.177205       7.224338           7.313157        7.254020            6.691808     7.283701         6.070459
config353     8.495567     7.886346     9.104788      100     0.254943       0.329619        1.938139    10.627203        22.360607       9.820029          13.395559        9.618235           11.154297       9.416442           8.913035        9.349178            8.165948     9.281913         7.418861
config70      8.512772     7.896296     9.129247      100     0.748406       2.077702        1.017966     9.089943        26.147681       8.364669          13.697611        8.183350           10.585093       8.002032           7.472576        7.941592            6.435070     7.881152         5.397564
config461     8.531806     8.058067     9.005545      100     0.736822       0.856435        1.275533     8.233197         7.785915       8.286028           7.716098        8.299235            7.698644       8.312443           7.681189        8.316845            7.675371     8.321248         7.669553
config79      8.532822     8.016514     9.049130      100     1.356514       1.147923        0.885020     8.481323        15.779822       8.250924          10.477765        8.193324            9.152251       8.135724           7.826737        8.116524            7.384899     8.097325         6.943061
config36      8.579999     8.068245     9.091753      100     0.350560       0.729137        1.630800     9.698314        17.421454       9.045724          11.376870        8.882577            9.865724       8.719430           8.354578        8.665047            7.850863     8.610665         7.347147
config234     8.596803     8.074284     9.119322      100     0.325810       0.914991        1.851271     9.905487        10.437530       8.771106           8.697077        8.487511            8.261963       8.203916           7.826850        8.109384            7.681812     8.014852         7.536774
config278     8.613220     8.098082     9.128357      100     0.807656       0.472961        1.144442    11.394647        27.105645      10.394781          15.127506       10.144814           12.132971       9.894847           9.138437        9.811525            8.140259     9.728203         7.142080
config471     8.621246     8.097785     9.144707      100     0.481364       0.807008        1.620251    12.474207        16.565750      10.867631          11.038479       10.465987            9.656661      10.064343           8.274843        9.930462            7.814238     9.796581         7.353632
config112     8.635027     8.147041     9.123013      100     2.091450       3.210739        1.571369     6.503628        15.250397       6.699241           9.044434        6.748145            7.492943       6.797048           5.941452        6.813349            5.424288     6.829650         4.907124
config201     8.642376     8.055215     9.229537      100     0.286732       0.596933        1.448918    10.961454        23.538542      10.114831          13.753427        9.903175           11.307148       9.691519           8.860869        9.620967            8.045443     9.550415         7.230016
config406     8.655499     8.035981     9.275017      100     0.366841       0.592552        1.908714    11.132827        19.886890      10.251675          12.419137       10.031387           10.552198       9.811099           8.685260        9.737670            8.062947     9.664240         7.440634
config53      8.683074     8.222465     9.143683      100     0.677683       0.868239        1.861069     9.978395        10.037841       9.821828           8.633837        9.782686            8.282836       9.743544           7.931835        9.730497            7.814835     9.717450         7.697835
config434     8.686282     8.233951     9.138613      100     1.109887       0.282575        1.394383     8.361472        34.939138       8.259743          18.179918        8.234310           13.990113       8.208878           9.800309        8.200401            8.403707     8.191923         7.007105
