
CONFIG EVALUATION WITH CRITERIA:1*train-uUB-mae + 1*test-uUB-qloss0.6 (shown are averages)
------------------------------
             eval-loss     lower-CI     upper-CI  n-seeds   train-mae  train-uUB-mae  train-time_min  test-qloss0  test-uUB-qloss0  test-qloss0.6  test-uUB-qloss0.6  test-qloss0.75  test-uUB-qloss0.75  test-qloss0.9  test-uUB-qloss0.9  test-qloss0.95  test-uUB-qloss0.95  test-qloss1  test-uUB-qloss1
config361     6.382613     6.070040     6.695187      100    1.327461       0.636235        1.535832     6.342728         6.330421       6.264610           5.746378        6.245080            5.600368       6.225550           5.454357        6.219041            5.405687     6.212531         5.357017
config43      6.563047     6.251635     6.874458      100    0.658222       0.786515        0.805657     6.953455         4.619508       7.148282           5.776531        7.196988            6.065787       7.245695           6.355043        7.261930            6.451462     7.278166         6.547880
config124     6.657734     6.333901     6.981566      100    0.091402       0.189805        1.914582     7.732618         5.325380       6.979226           6.467929        6.790878            6.753566       6.602530           7.039203        6.539747            7.134416     6.476964         7.229628
config100     6.776981     6.417312     7.136651      100    0.129012       0.165393        2.242310     7.654226         7.037874       7.191924           6.611588        7.076349            6.505017       6.960773           6.398445        6.922248            6.362921     6.883723         6.327398
config15      6.912842     6.532413     7.293271      100    0.283011       0.089878        1.348504     7.012631         7.253410       6.441573           6.822964        6.298808            6.715353       6.156044           6.607741        6.108455            6.571871     6.060867         6.536000
config428     6.966574     6.639345     7.293804      100    1.607395       1.383120        0.920399     5.443580         7.243458       5.180664           5.583454        5.114935            5.168453       5.049206           4.753452        5.027296            4.615118     5.005387         4.476784
config120     7.277840     6.933185     7.622495      100    0.345077       0.407671        2.059216     5.816579         7.213238       7.965381           6.870169        8.502581            6.784402       9.039782           6.698635        9.218849            6.670046     9.397916         6.641457
config16      7.327936     6.971960     7.683912      100    0.391535       0.199820        1.101771     6.853861         7.548529       6.717885           7.128116        6.683891            7.023013       6.649897           6.917910        6.638566            6.882875     6.627234         6.847841
config66      7.335002     6.989100     7.680903      100    0.252138       0.449275        2.102744     5.011148         8.948596       7.266885           6.885727        7.830820            6.370009       8.394754           5.854292        8.582732            5.682386     8.770710         5.510480
config192     7.348090     7.001497     7.694683      100    0.387060       0.614228        0.903170     7.161185         8.889929       6.624905           6.733861        6.490835            6.194844       6.356765           5.655827        6.312075            5.476155     6.267385         5.296482
config122     7.530694     7.159980     7.901408      100    0.484374       0.851547        1.625012     7.275216         7.936185       7.177386           6.679148        7.152928            6.364888       7.128470           6.050629        7.120318            5.945876     7.112165         5.841123
config131     7.571943     7.202040     7.941846      100    1.061235       0.433399        1.504527     7.941079         7.488524       7.868354           7.138545        7.850173            7.051050       7.831992           6.963555        7.825931            6.934390     7.819871         6.905225
